GameIndex,Player_1_name,Player_1_draws,Player_1_cells_left,Player_2_name,Player_2_draws,Player_2_cells_left,Player_3_name,Player_3_draws,Player_3_cells_left,Player_4_name,Player_4_draws,Player_4_cells_left,OpeningPlayer,Winner,PlayerCount,Score,Turns,Seed,CellsUndrawn,CellsOnTable,CellsAmountCheck
23,Protokół Zgredek,1,3,Whateva,0,1,Rocket,1,2,Diogenes,0,0,Diogenes,Diogenes,4,32,4,1,6,16,True
23,Rocket,1,2,Diogenes,0,1,Protokół Zgredek,0,1,Whateva,0,0,Whateva,Whateva,4,13,4,2,7,17,True
23,Whateva,3,5,Rocket,0,1,Diogenes,0,1,Protokół Zgredek,0,0,Protokół Zgredek,Protokół Zgredek,4,37,4,3,5,16,True
23,Whateva,1,2,Rocket,2,3,Diogenes,0,0,Protokół Zgredek,2,4,Protokół Zgredek,Diogenes,4,65,5,4,3,16,True
23,Protokół Zgredek,1,2,Whateva,1,2,Rocket,0,0,Diogenes,1,1,Diogenes,Rocket,4,33,5,5,5,18,True
23,Whateva,1,1,Rocket,1,1,Diogenes,0,0,Protokół Zgredek,1,1,Protokół Zgredek,Diogenes,4,22,5,6,5,20,True
24,Krecik,2,2,Diogenes,2,3,Protokół Zgredek,1,1,Whateva,3,5,Whateva,Protokół Zgredek,4,50,6,0,0,17,True
24,Protokół Zgredek,1,3,Whateva,0,1,Krecik,1,2,Diogenes,0,0,Diogenes,Diogenes,4,46,4,1,6,16,True
24,Krecik,1,2,Diogenes,0,1,Protokół Zgredek,0,1,Whateva,0,0,Whateva,Whateva,4,15,4,2,7,17,True
24,Whateva,1,3,Krecik,0,1,Diogenes,0,1,Protokół Zgredek,0,0,Protokół Zgredek,Protokół Zgredek,4,34,4,3,7,16,True
24,Whateva,0,0,Krecik,0,1,Diogenes,0,1,Protokół Zgredek,1,2,Protokół Zgredek,Whateva,4,35,5,4,7,17,True
24,Protokół Zgredek,2,4,Whateva,1,1,Krecik,0,0,Diogenes,2,3,Diogenes,Krecik,4,41,5,5,3,17,True
24,Whateva,2,1,Krecik,3,4,Diogenes,1,2,Protokół Zgredek,2,3,Protokół Zgredek,Whateva,4,50,6,6,0,18,True
24,Diogenes,2,2,Protokół Zgredek,1,0,Whateva,2,3,Krecik,1,1,Krecik,Protokół Zgredek,4,40,6,7,2,20,True
25,Krecik,1,0,Diogenes,1,2,Protokół Zgredek,1,1,Rocket,1,1,Rocket,Krecik,4,27,6,0,4,20,True
25,Protokół Zgredek,2,4,Rocket,0,0,Krecik,1,3,Diogenes,1,2,Diogenes,Rocket,4,65,5,1,4,15,True
25,Krecik,1,2,Diogenes,0,1,Protokół Zgredek,0,1,Rocket,0,0,Rocket,Rocket,4,21,4,2,7,17,True
25,Rocket,1,2,Krecik,0,1,Diogenes,0,1,Protokół Zgredek,0,0,Protokół Zgredek,Protokół Zgredek,4,30,4,3,7,17,True
25,Rocket,0,0,Krecik,1,2,Diogenes,1,2,Protokół Zgredek,1,2,Protokół Zgredek,Rocket,4,48,5,4,5,17,True
